name,layer,wc_r,wc_g,wc_b,num_splines,total_verts,bbmin_x,bbmin_y,bbmax_x,bbmax_y,width,height,center_x,center_y,area_approx
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10421e+07,8.48828e+06,1.10421e+07,8.48832e+06,36.0,36.0,1.10421e+07,8.4883e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10421e+07,8.48843e+06,1.10421e+07,8.48846e+06,32.0,32.0,1.10421e+07,8.48845e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10415e+07,8.48852e+06,1.10415e+07,8.48855e+06,32.0,32.0,1.10415e+07,8.48854e+06,1024.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10421e+07,8.48822e+06,1.10421e+07,8.48825e+06,32.0,32.0,1.10421e+07,8.48823e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10414e+07,8.48826e+06,1.10415e+07,8.4883e+06,32.0,32.0,1.10415e+07,8.48828e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10421e+07,8.48801e+06,1.10421e+07,8.48805e+06,36.0,36.0,1.10421e+07,8.48803e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10421e+07,8.48795e+06,1.10421e+07,8.48799e+06,32.0,32.0,1.10421e+07,8.48797e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10415e+07,8.488e+06,1.10416e+07,8.48804e+06,32.0,32.0,1.10415e+07,8.48802e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.1042e+07,8.48762e+06,1.1042e+07,8.48766e+06,36.0,36.0,1.1042e+07,8.48764e+06,1296.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10421e+07,8.48837e+06,1.10421e+07,8.4884e+06,36.0,36.0,1.10421e+07,8.48838e+06,1296.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10456e+07,8.49094e+06,1.10456e+07,8.49097e+06,32.0,32.0,1.10456e+07,8.49096e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10458e+07,8.49091e+06,1.10459e+07,8.49094e+06,32.0,32.0,1.10459e+07,8.49093e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10461e+07,8.49095e+06,1.10462e+07,8.49098e+06,32.0,32.0,1.10461e+07,8.49096e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10452e+07,8.49094e+06,1.10452e+07,8.49097e+06,32.0,32.0,1.10452e+07,8.49095e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10449e+07,8.4909e+06,1.1045e+07,8.49094e+06,32.0,32.0,1.10449e+07,8.49092e+06,1024.0
Layer:Site Plan$0$A-DOOR,Site Plan$0$A-DOOR,186,186,186,2,6,1.10446e+07,8.49094e+06,1.10447e+07,8.49097e+06,32.0,32.0,1.10447e+07,8.49095e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10461e+07,8.49037e+06,1.10461e+07,8.49041e+06,36.0,36.0,1.10461e+07,8.49039e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10461e+07,8.49035e+06,1.10462e+07,8.49038e+06,32.0,32.0,1.10462e+07,8.49036e+06,1024.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10458e+07,8.49033e+06,1.10458e+07,8.49036e+06,32.0,32.0,1.10458e+07,8.49034e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10457e+07,8.4903e+06,1.10457e+07,8.49034e+06,36.0,36.0,1.10457e+07,8.49032e+06,1296.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10456e+07,8.4903e+06,1.10456e+07,8.49034e+06,36.0,36.0,1.10456e+07,8.49032e+06,1296.0
Layer:Site Plan$0$A-DOOR-EXT_WINDOWS,Site Plan$0$A-DOOR-EXT_WINDOWS,186,186,186,2,6,1.10455e+07,8.49033e+06,1.10456e+07,8.49036e+06,32.0,32.0,1.10456e+07,8.49034e+06,1024.0
Layer:Site Plan$0$A-HVAC-EXT,Site Plan$0$A-HVAC-EXT,186,186,186,22,60,1.10452e+07,8.4903e+06,1.10452e+07,8.49033e+06,36.0,36.0,1.10452e+07,8.49032e+06,1296.0
