name,class,layer,wirecolor,x,y,z,isGroupHead
Layer:x-RL TH8-LP Block$0$LK-SHRB-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-TRNK,(color 186 186 186),1.1052e+07,8.48963e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$SHRUB-LRG-003,LinkComposite,x-RL TH8-LP Block$0$LP-SHRB,(color 186 186 186),1.10519e+07,8.48911e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-035M,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-035M,(color 186 186 186),1.10519e+07,8.48911e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-TRNK,(color 186 186 186),1.10519e+07,8.48911e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$SHRUB-LRG-003,LinkComposite,x-RL TH8-LP Block$0$LP-SHRB,(color 186 186 186),1.10519e+07,8.48911e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-035M,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-035M,(color 186 186 186),1.10519e+07,8.48911e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-TRNK,(color 186 186 186),1.10519e+07,8.48911e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$SHRUB-LRG-003,LinkComposite,x-RL TH8-LP Block$0$LP-SHRB,(color 186 186 186),1.10519e+07,8.48963e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-035M,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-035M,(color 186 186 186),1.10519e+07,8.48963e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-TRNK,(color 186 186 186),1.10519e+07,8.48963e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$SHRUB-LRG-003,LinkComposite,x-RL TH8-LP Block$0$LP-SHRB,(color 186 186 186),1.10519e+07,8.48963e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-035M,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-035M,(color 186 186 186),1.10519e+07,8.48963e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-TRNK,(color 186 186 186),1.10519e+07,8.48963e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$SHRUB-LRG-003,LinkComposite,x-RL TH8-LP Block$0$LP-SHRB,(color 186 186 186),1.1052e+07,8.48937e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-035M,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-035M,(color 186 186 186),1.1052e+07,8.48937e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-TRNK,(color 186 186 186),1.1052e+07,8.48937e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$SHRUB-LRG-003,LinkComposite,x-RL TH8-LP Block$0$LP-SHRB,(color 186 186 186),1.1052e+07,8.48937e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-035M,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-035M,(color 186 186 186),1.1052e+07,8.48937e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-TRNK,(color 186 186 186),1.1052e+07,8.48937e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$SHRUB-LRG-003,LinkComposite,x-RL TH8-LP Block$0$LP-SHRB,(color 186 186 186),1.10519e+07,8.48937e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-035M,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-035M,(color 186 186 186),1.10519e+07,8.48937e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-TRNK,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-TRNK,(color 186 186 186),1.10519e+07,8.48937e+06,-5.39411e-05,false
Block:x-RL TH8-LP Block$0$SHRUB-LRG-003,LinkComposite,x-RL TH8-LP Block$0$LP-SHRB,(color 186 186 186),1.10519e+07,8.48937e+06,-5.39411e-05,false
Layer:x-RL TH8-LP Block$0$LK-SHRB-035M,SplineShape,x-RL TH8-LP Block$0$LK-SHRB-035M,(color 186 186 186),1.10519e+07,8.48937e+06,-5.39411e-05,false
